Character,Trait,Setting,Conflict,Resolution,Moral,Fable
Rabbit,Brave,Forest,Competing for food,Reward,Kindness is rewarded,"Once there was a brave rabbit in a forest. One day, it was competing for food. After much effort, reward.
*Moral:* Kindness is rewarded."
Rabbit,Brave,Forest,Competing for food,Reward,Hard work pays off,"Once there was a brave rabbit in a forest. One day, it was competing for food. After much effort, reward.
*Moral:* Hard work pays off."
Rabbit,Brave,Forest,Competing for food,Punishment,Kindness is rewarded,"Once there was a brave rabbit in a forest. One day, it was competing for food. After much effort, punishment.
*Moral:* Kindness is rewarded."
Rabbit,Brave,Forest,Competing for food,Punishment,Hard work pays off,"Once there was a brave rabbit in a forest. One day, it was competing for food. After much effort, punishment.
*Moral:* Hard work pays off."
Rabbit,Brave,Forest,Helping someone in need,Reward,Kindness is rewarded,"Once there was a brave rabbit in a forest. One day, it was helping someone in need. After much effort, reward.
*Moral:* Kindness is rewarded."
Rabbit,Brave,Forest,Helping someone in need,Reward,Hard work pays off,"Once there was a brave rabbit in a forest. One day, it was helping someone in need. After much effort, reward.
*Moral:* Hard work pays off."
Rabbit,Brave,Forest,Helping someone in need,Punishment,Kindness is rewarded,"Once there was a brave rabbit in a forest. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Kindness is rewarded."
Rabbit,Brave,Forest,Helping someone in need,Punishment,Hard work pays off,"Once there was a brave rabbit in a forest. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Hard work pays off."
Rabbit,Brave,River,Competing for food,Reward,Kindness is rewarded,"Once there was a brave rabbit in a river. One day, it was competing for food. After much effort, reward.
*Moral:* Kindness is rewarded."
Rabbit,Brave,River,Competing for food,Reward,Hard work pays off,"Once there was a brave rabbit in a river. One day, it was competing for food. After much effort, reward.
*Moral:* Hard work pays off."
Rabbit,Brave,River,Competing for food,Punishment,Kindness is rewarded,"Once there was a brave rabbit in a river. One day, it was competing for food. After much effort, punishment.
*Moral:* Kindness is rewarded."
Rabbit,Brave,River,Competing for food,Punishment,Hard work pays off,"Once there was a brave rabbit in a river. One day, it was competing for food. After much effort, punishment.
*Moral:* Hard work pays off."
Rabbit,Brave,River,Helping someone in need,Reward,Kindness is rewarded,"Once there was a brave rabbit in a river. One day, it was helping someone in need. After much effort, reward.
*Moral:* Kindness is rewarded."
Rabbit,Brave,River,Helping someone in need,Reward,Hard work pays off,"Once there was a brave rabbit in a river. One day, it was helping someone in need. After much effort, reward.
*Moral:* Hard work pays off."
Rabbit,Brave,River,Helping someone in need,Punishment,Kindness is rewarded,"Once there was a brave rabbit in a river. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Kindness is rewarded."
Rabbit,Brave,River,Helping someone in need,Punishment,Hard work pays off,"Once there was a brave rabbit in a river. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Hard work pays off."
Rabbit,Greedy,Forest,Competing for food,Reward,Kindness is rewarded,"Once there was a greedy rabbit in a forest. One day, it was competing for food. After much effort, reward.
*Moral:* Kindness is rewarded."
Rabbit,Greedy,Forest,Competing for food,Reward,Hard work pays off,"Once there was a greedy rabbit in a forest. One day, it was competing for food. After much effort, reward.
*Moral:* Hard work pays off."
Rabbit,Greedy,Forest,Competing for food,Punishment,Kindness is rewarded,"Once there was a greedy rabbit in a forest. One day, it was competing for food. After much effort, punishment.
*Moral:* Kindness is rewarded."
Rabbit,Greedy,Forest,Competing for food,Punishment,Hard work pays off,"Once there was a greedy rabbit in a forest. One day, it was competing for food. After much effort, punishment.
*Moral:* Hard work pays off."
Rabbit,Greedy,Forest,Helping someone in need,Reward,Kindness is rewarded,"Once there was a greedy rabbit in a forest. One day, it was helping someone in need. After much effort, reward.
*Moral:* Kindness is rewarded."
Rabbit,Greedy,Forest,Helping someone in need,Reward,Hard work pays off,"Once there was a greedy rabbit in a forest. One day, it was helping someone in need. After much effort, reward.
*Moral:* Hard work pays off."
Rabbit,Greedy,Forest,Helping someone in need,Punishment,Kindness is rewarded,"Once there was a greedy rabbit in a forest. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Kindness is rewarded."
Rabbit,Greedy,Forest,Helping someone in need,Punishment,Hard work pays off,"Once there was a greedy rabbit in a forest. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Hard work pays off."
Rabbit,Greedy,River,Competing for food,Reward,Kindness is rewarded,"Once there was a greedy rabbit in a river. One day, it was competing for food. After much effort, reward.
*Moral:* Kindness is rewarded."
Rabbit,Greedy,River,Competing for food,Reward,Hard work pays off,"Once there was a greedy rabbit in a river. One day, it was competing for food. After much effort, reward.
*Moral:* Hard work pays off."
Rabbit,Greedy,River,Competing for food,Punishment,Kindness is rewarded,"Once there was a greedy rabbit in a river. One day, it was competing for food. After much effort, punishment.
*Moral:* Kindness is rewarded."
Rabbit,Greedy,River,Competing for food,Punishment,Hard work pays off,"Once there was a greedy rabbit in a river. One day, it was competing for food. After much effort, punishment.
*Moral:* Hard work pays off."
Rabbit,Greedy,River,Helping someone in need,Reward,Kindness is rewarded,"Once there was a greedy rabbit in a river. One day, it was helping someone in need. After much effort, reward.
*Moral:* Kindness is rewarded."
Rabbit,Greedy,River,Helping someone in need,Reward,Hard work pays off,"Once there was a greedy rabbit in a river. One day, it was helping someone in need. After much effort, reward.
*Moral:* Hard work pays off."
Rabbit,Greedy,River,Helping someone in need,Punishment,Kindness is rewarded,"Once there was a greedy rabbit in a river. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Kindness is rewarded."
Rabbit,Greedy,River,Helping someone in need,Punishment,Hard work pays off,"Once there was a greedy rabbit in a river. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Hard work pays off."
Fox,Brave,Forest,Competing for food,Reward,Kindness is rewarded,"Once there was a brave fox in a forest. One day, it was competing for food. After much effort, reward.
*Moral:* Kindness is rewarded."
Fox,Brave,Forest,Competing for food,Reward,Hard work pays off,"Once there was a brave fox in a forest. One day, it was competing for food. After much effort, reward.
*Moral:* Hard work pays off."
Fox,Brave,Forest,Competing for food,Punishment,Kindness is rewarded,"Once there was a brave fox in a forest. One day, it was competing for food. After much effort, punishment.
*Moral:* Kindness is rewarded."
Fox,Brave,Forest,Competing for food,Punishment,Hard work pays off,"Once there was a brave fox in a forest. One day, it was competing for food. After much effort, punishment.
*Moral:* Hard work pays off."
Fox,Brave,Forest,Helping someone in need,Reward,Kindness is rewarded,"Once there was a brave fox in a forest. One day, it was helping someone in need. After much effort, reward.
*Moral:* Kindness is rewarded."
Fox,Brave,Forest,Helping someone in need,Reward,Hard work pays off,"Once there was a brave fox in a forest. One day, it was helping someone in need. After much effort, reward.
*Moral:* Hard work pays off."
Fox,Brave,Forest,Helping someone in need,Punishment,Kindness is rewarded,"Once there was a brave fox in a forest. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Kindness is rewarded."
Fox,Brave,Forest,Helping someone in need,Punishment,Hard work pays off,"Once there was a brave fox in a forest. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Hard work pays off."
Fox,Brave,River,Competing for food,Reward,Kindness is rewarded,"Once there was a brave fox in a river. One day, it was competing for food. After much effort, reward.
*Moral:* Kindness is rewarded."
Fox,Brave,River,Competing for food,Reward,Hard work pays off,"Once there was a brave fox in a river. One day, it was competing for food. After much effort, reward.
*Moral:* Hard work pays off."
Fox,Brave,River,Competing for food,Punishment,Kindness is rewarded,"Once there was a brave fox in a river. One day, it was competing for food. After much effort, punishment.
*Moral:* Kindness is rewarded."
Fox,Brave,River,Competing for food,Punishment,Hard work pays off,"Once there was a brave fox in a river. One day, it was competing for food. After much effort, punishment.
*Moral:* Hard work pays off."
Fox,Brave,River,Helping someone in need,Reward,Kindness is rewarded,"Once there was a brave fox in a river. One day, it was helping someone in need. After much effort, reward.
*Moral:* Kindness is rewarded."
Fox,Brave,River,Helping someone in need,Reward,Hard work pays off,"Once there was a brave fox in a river. One day, it was helping someone in need. After much effort, reward.
*Moral:* Hard work pays off."
Fox,Brave,River,Helping someone in need,Punishment,Kindness is rewarded,"Once there was a brave fox in a river. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Kindness is rewarded."
Fox,Brave,River,Helping someone in need,Punishment,Hard work pays off,"Once there was a brave fox in a river. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Hard work pays off."
Fox,Greedy,Forest,Competing for food,Reward,Kindness is rewarded,"Once there was a greedy fox in a forest. One day, it was competing for food. After much effort, reward.
*Moral:* Kindness is rewarded."
Fox,Greedy,Forest,Competing for food,Reward,Hard work pays off,"Once there was a greedy fox in a forest. One day, it was competing for food. After much effort, reward.
*Moral:* Hard work pays off."
Fox,Greedy,Forest,Competing for food,Punishment,Kindness is rewarded,"Once there was a greedy fox in a forest. One day, it was competing for food. After much effort, punishment.
*Moral:* Kindness is rewarded."
Fox,Greedy,Forest,Competing for food,Punishment,Hard work pays off,"Once there was a greedy fox in a forest. One day, it was competing for food. After much effort, punishment.
*Moral:* Hard work pays off."
Fox,Greedy,Forest,Helping someone in need,Reward,Kindness is rewarded,"Once there was a greedy fox in a forest. One day, it was helping someone in need. After much effort, reward.
*Moral:* Kindness is rewarded."
Fox,Greedy,Forest,Helping someone in need,Reward,Hard work pays off,"Once there was a greedy fox in a forest. One day, it was helping someone in need. After much effort, reward.
*Moral:* Hard work pays off."
Fox,Greedy,Forest,Helping someone in need,Punishment,Kindness is rewarded,"Once there was a greedy fox in a forest. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Kindness is rewarded."
Fox,Greedy,Forest,Helping someone in need,Punishment,Hard work pays off,"Once there was a greedy fox in a forest. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Hard work pays off."
Fox,Greedy,River,Competing for food,Reward,Kindness is rewarded,"Once there was a greedy fox in a river. One day, it was competing for food. After much effort, reward.
*Moral:* Kindness is rewarded."
Fox,Greedy,River,Competing for food,Reward,Hard work pays off,"Once there was a greedy fox in a river. One day, it was competing for food. After much effort, reward.
*Moral:* Hard work pays off."
Fox,Greedy,River,Competing for food,Punishment,Kindness is rewarded,"Once there was a greedy fox in a river. One day, it was competing for food. After much effort, punishment.
*Moral:* Kindness is rewarded."
Fox,Greedy,River,Competing for food,Punishment,Hard work pays off,"Once there was a greedy fox in a river. One day, it was competing for food. After much effort, punishment.
*Moral:* Hard work pays off."
Fox,Greedy,River,Helping someone in need,Reward,Kindness is rewarded,"Once there was a greedy fox in a river. One day, it was helping someone in need. After much effort, reward.
*Moral:* Kindness is rewarded."
Fox,Greedy,River,Helping someone in need,Reward,Hard work pays off,"Once there was a greedy fox in a river. One day, it was helping someone in need. After much effort, reward.
*Moral:* Hard work pays off."
Fox,Greedy,River,Helping someone in need,Punishment,Kindness is rewarded,"Once there was a greedy fox in a river. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Kindness is rewarded."
Fox,Greedy,River,Helping someone in need,Punishment,Hard work pays off,"Once there was a greedy fox in a river. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Hard work pays off."
Squirrel,Brave,Forest,Competing for food,Reward,Kindness is rewarded,"Once there was a brave squirrel in a forest. One day, it was competing for food. After much effort, reward.
*Moral:* Kindness is rewarded."
Squirrel,Brave,Forest,Competing for food,Reward,Hard work pays off,"Once there was a brave squirrel in a forest. One day, it was competing for food. After much effort, reward.
*Moral:* Hard work pays off."
Squirrel,Brave,Forest,Competing for food,Punishment,Kindness is rewarded,"Once there was a brave squirrel in a forest. One day, it was competing for food. After much effort, punishment.
*Moral:* Kindness is rewarded."
Squirrel,Brave,Forest,Competing for food,Punishment,Hard work pays off,"Once there was a brave squirrel in a forest. One day, it was competing for food. After much effort, punishment.
*Moral:* Hard work pays off."
Squirrel,Brave,Forest,Helping someone in need,Reward,Kindness is rewarded,"Once there was a brave squirrel in a forest. One day, it was helping someone in need. After much effort, reward.
*Moral:* Kindness is rewarded."
Squirrel,Brave,Forest,Helping someone in need,Reward,Hard work pays off,"Once there was a brave squirrel in a forest. One day, it was helping someone in need. After much effort, reward.
*Moral:* Hard work pays off."
Squirrel,Brave,Forest,Helping someone in need,Punishment,Kindness is rewarded,"Once there was a brave squirrel in a forest. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Kindness is rewarded."
Squirrel,Brave,Forest,Helping someone in need,Punishment,Hard work pays off,"Once there was a brave squirrel in a forest. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Hard work pays off."
Squirrel,Brave,River,Competing for food,Reward,Kindness is rewarded,"Once there was a brave squirrel in a river. One day, it was competing for food. After much effort, reward.
*Moral:* Kindness is rewarded."
Squirrel,Brave,River,Competing for food,Reward,Hard work pays off,"Once there was a brave squirrel in a river. One day, it was competing for food. After much effort, reward.
*Moral:* Hard work pays off."
Squirrel,Brave,River,Competing for food,Punishment,Kindness is rewarded,"Once there was a brave squirrel in a river. One day, it was competing for food. After much effort, punishment.
*Moral:* Kindness is rewarded."
Squirrel,Brave,River,Competing for food,Punishment,Hard work pays off,"Once there was a brave squirrel in a river. One day, it was competing for food. After much effort, punishment.
*Moral:* Hard work pays off."
Squirrel,Brave,River,Helping someone in need,Reward,Kindness is rewarded,"Once there was a brave squirrel in a river. One day, it was helping someone in need. After much effort, reward.
*Moral:* Kindness is rewarded."
Squirrel,Brave,River,Helping someone in need,Reward,Hard work pays off,"Once there was a brave squirrel in a river. One day, it was helping someone in need. After much effort, reward.
*Moral:* Hard work pays off."
Squirrel,Brave,River,Helping someone in need,Punishment,Kindness is rewarded,"Once there was a brave squirrel in a river. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Kindness is rewarded."
Squirrel,Brave,River,Helping someone in need,Punishment,Hard work pays off,"Once there was a brave squirrel in a river. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Hard work pays off."
Squirrel,Greedy,Forest,Competing for food,Reward,Kindness is rewarded,"Once there was a greedy squirrel in a forest. One day, it was competing for food. After much effort, reward.
*Moral:* Kindness is rewarded."
Squirrel,Greedy,Forest,Competing for food,Reward,Hard work pays off,"Once there was a greedy squirrel in a forest. One day, it was competing for food. After much effort, reward.
*Moral:* Hard work pays off."
Squirrel,Greedy,Forest,Competing for food,Punishment,Kindness is rewarded,"Once there was a greedy squirrel in a forest. One day, it was competing for food. After much effort, punishment.
*Moral:* Kindness is rewarded."
Squirrel,Greedy,Forest,Competing for food,Punishment,Hard work pays off,"Once there was a greedy squirrel in a forest. One day, it was competing for food. After much effort, punishment.
*Moral:* Hard work pays off."
Squirrel,Greedy,Forest,Helping someone in need,Reward,Kindness is rewarded,"Once there was a greedy squirrel in a forest. One day, it was helping someone in need. After much effort, reward.
*Moral:* Kindness is rewarded."
Squirrel,Greedy,Forest,Helping someone in need,Reward,Hard work pays off,"Once there was a greedy squirrel in a forest. One day, it was helping someone in need. After much effort, reward.
*Moral:* Hard work pays off."
Squirrel,Greedy,Forest,Helping someone in need,Punishment,Kindness is rewarded,"Once there was a greedy squirrel in a forest. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Kindness is rewarded."
Squirrel,Greedy,Forest,Helping someone in need,Punishment,Hard work pays off,"Once there was a greedy squirrel in a forest. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Hard work pays off."
Squirrel,Greedy,River,Competing for food,Reward,Kindness is rewarded,"Once there was a greedy squirrel in a river. One day, it was competing for food. After much effort, reward.
*Moral:* Kindness is rewarded."
Squirrel,Greedy,River,Competing for food,Reward,Hard work pays off,"Once there was a greedy squirrel in a river. One day, it was competing for food. After much effort, reward.
*Moral:* Hard work pays off."
Squirrel,Greedy,River,Competing for food,Punishment,Kindness is rewarded,"Once there was a greedy squirrel in a river. One day, it was competing for food. After much effort, punishment.
*Moral:* Kindness is rewarded."
Squirrel,Greedy,River,Competing for food,Punishment,Hard work pays off,"Once there was a greedy squirrel in a river. One day, it was competing for food. After much effort, punishment.
*Moral:* Hard work pays off."
Squirrel,Greedy,River,Helping someone in need,Reward,Kindness is rewarded,"Once there was a greedy squirrel in a river. One day, it was helping someone in need. After much effort, reward.
*Moral:* Kindness is rewarded."
Squirrel,Greedy,River,Helping someone in need,Reward,Hard work pays off,"Once there was a greedy squirrel in a river. One day, it was helping someone in need. After much effort, reward.
*Moral:* Hard work pays off."
Squirrel,Greedy,River,Helping someone in need,Punishment,Kindness is rewarded,"Once there was a greedy squirrel in a river. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Kindness is rewarded."
Squirrel,Greedy,River,Helping someone in need,Punishment,Hard work pays off,"Once there was a greedy squirrel in a river. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Hard work pays off."
